armeabi-v7a CtsAppExitTestCases		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
| [[CtsInstantAppTests]]                           | armeabi-v7a | 22          |		
| [[CtsResourcesLoaderTests]]                      | armeabi-v7a | 650         |		
| [[CtsUffdGcTestCases]]                           | armeabi-v7a | 4           |		
| [[CtsUsbManagerTestCases]]                       | armeabi-v7a | 3           |		
| [[CtsVcnTestCases]]                              | armeabi-v7a | 19          |		
| [[CtsWindowManagerJetpackTestCases]]             | armeabi-v7a | 10          |		
| [[HalUsbGadgetV1_0HostTest]]                     | armeabi-v7a | 5           |		
| [[KernelApiSysfsTest]]                           | armeabi-v7a | 11          |		
| [[UpdatableSystemFontTest]]                      | armeabi-v7a | 12          |		
| [[VtsAidlKeyMintTargetTest]]                     | armeabi-v7a | 0           |		
| [[VtsAidlSecureClockTargetTest]]                 | armeabi-v7a | 0           |		
| [[VtsFwkDisplayServiceV1_0TargetTest]]           | armeabi-v7a | 4           |		
| [[VtsHalAudioEffectV7_0TargetTest]]              | armeabi-v7a | 72          |		
| [[VtsHalAudioV7_0TargetTest]]                    | armeabi-v7a | 1910        |		
| [[VtsHalAutomotiveVehicleV2_0TargetTest]]        | armeabi-v7a | 0           |		
| [[VtsHalBluetoothAudioV2_0TargetTest]]           | armeabi-v7a | 12          |		
| [[VtsHalBootV1_0TargetTest]]                     | armeabi-v7a | 8           |		
| [[VtsHalBootV1_1TargetTest]]                     | armeabi-v7a | 2           |		
