| Module                                           | ABI         | Total Tests |
| [[VtsHalBootV1_1TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalBootV1_2TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalBroadcastradioAidlTargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalBroadcastradioV1_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalBroadcastradioV1_1TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalBroadcastradioV2_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalCameraProviderV2_4TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalCameraServiceV2_0TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalCanBusV1_0TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalCanBusVirtualV1_0TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalCanControllerV1_0TargetTest]]            | armeabi-v7a | 0           |
| [[VtsHalCanControllerV1_0Test]]                  | armeabi-v7a | 0           |
| [[VtsHalCarDisplayTargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalCarTelemetryTest]]                       | armeabi-v7a | 0           |
| [[VtsHalCasAidlTargetTest]]                      | armeabi-v7a | 8           |
| [[VtsHalCasV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalCasV1_1TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalCasV1_2TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalConfigstoreV1_0TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalConfirmationUITargetTest]]               | armeabi-v7a | 1           |
| [[VtsHalConfirmationUIV1_0TargetTest]]           | armeabi-v7a | 1           |
| [[VtsHalContexthubV1_0TargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalContexthubV1_1TargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalContexthubV1_2TargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalDownmixTargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalDrmV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalDrmV1_1TargetTest]]                      | armeabi-v7a | 0           |
