| Module                                           | ABI         | Total Tests |
| [[vts_linux_kselftest_arm_32]]                   | armeabi-v7a | 22          |
| [[vts_ltp_test_arm]]                             | armeabi-v7a | 1453        |
| [[vts_mediaCodecs_validate_test]]                | armeabi-v7a | 1           |
| [[vts_mediaProfiles_validate_test]]              | armeabi-v7a | 1           |
| [[vts_ota_config_test]]                          | armeabi-v7a | 1           |
| [[vts_permission_validate_test]]                 | armeabi-v7a | 1           |
| [[vts_processgroup_validate_test]]               | armeabi-v7a | 10          |
| [[vts_security_avb_test]]                        | armeabi-v7a | 3           |
| [[vts_test_binary_bow_module]]                   | armeabi-v7a | 13          |
| [[vts_treble_no_hidl]]                           | armeabi-v7a | 1           |
| [[vts_treble_platform_version_test]]             | armeabi-v7a | 4           |
| [[vts_treble_sys_prop_test]]                     | armeabi-v7a | 8           |
| [[vts_treble_vintf_framework_test]]              | armeabi-v7a | 112         |
| [[vts_treble_vintf_vendor_test]]                 | armeabi-v7a | 150         |
| [[vts_virtual_ab_test]]                          | armeabi-v7a | 4           |
| [[vts_vndk_abi_test]]                            | armeabi-v7a | 2           |
| [[vts_vndk_dependency_test]]                     | armeabi-v7a | 1           |
| [[vts_vndk_files_test]]                          | armeabi-v7a | 6           |
| [[ApkVerityTest]]                                | arm64-v8a   | 19          |
| [[CtsInstantAppTests]]                           | arm64-v8a   | 22          |
| [[CtsPackageWatchdogTestCases]]                  | arm64-v8a   | 1           |
| [[CtsResourcesLoaderTests]]                      | arm64-v8a   | 650         |
| [[CtsUffdGcTestCases]]                           | arm64-v8a   | 5           |
| [[CtsUsbManagerTestCases]]                       | arm64-v8a   | 22          |
| [[CtsVcnTestCases]]                              | arm64-v8a   | 62          |
| [[CtsVoiceInteractionHostTestCases]]             | arm64-v8a   | 3           |
| [[FastbootGetvarUserspaceTest]]                  | arm64-v8a   | 9           |
| [[FastbootVerifyUserspaceTest]]                  | arm64-v8a   | 5           |
| [[FirmwareBootHeaderVerification]]               | arm64-v8a   | 2           |
| [[FirmwareDtboVerification]]                     | arm64-v8a   | 2           |
| [[GpuServiceVendorTests]]                        | arm64-v8a   | 2           |
| [[HalAudioV6_0GeneratorTest]]                    | arm64-v8a   | 4           |
| [[HalAudioV7_0GeneratorTest]]                    | arm64-v8a   | 5           |
| [[HalUsbGadgetV1_0HostTest]]                     | arm64-v8a   | 4           |
| [[KernelAbilistTest]]                            | arm64-v8a   | 1           |
| [[KernelApiSysfsTest]]                           | arm64-v8a   | 12          |
| [[KernelDynamicPartitionsTest]]                  | arm64-v8a   | 1           |
| [[KernelLibcutilsTest]]                          | arm64-v8a   | 6           |
| [[KernelSelinuxFileApiTest]]                     | arm64-v8a   | 3           |
| [[RpcTlsUtilsTest]]                              | arm64-v8a   | 8           |
| [[SdcardfsTest]]                                 | arm64-v8a   | 1           |
| [[SuspendSepolicyTests]]                         | arm64-v8a   | 1           |
| [[SystemSuspendV1_0AidlTest]]                    | arm64-v8a   | 6           |
| [[UpdatableSystemFontTest]]                      | arm64-v8a   | 14          |
| [[VtsAidlCameraServiceTargetTest]]               | arm64-v8a   | 2           |
| [[VtsAidlHalAudioControlTest]]                   | arm64-v8a   | 0           |
| [[VtsAidlHalCameraProvider_TargetTest]]          | arm64-v8a   | 42          |
| [[VtsAidlHalContextHubTargetTest]]               | arm64-v8a   | 0           |
| [[VtsAidlHalDrmTargetTest]]                      | arm64-v8a   | 72          |
| [[VtsAidlHalNfcTargetTest]]                      | arm64-v8a   | 0           |
| [[VtsAidlHalSensorsTargetTest]]                  | arm64-v8a   | 0           |
| [[VtsAidlHalStatsTargetTest]]                    | arm64-v8a   | 4           |
| [[VtsAidlKeyMintTargetTest]]                     | arm64-v8a   | 274         |
| [[VtsAidlPowerPolicyTargetTest]]                 | arm64-v8a   | 0           |
| [[VtsAidlSecureClockTargetTest]]                 | arm64-v8a   | 2           |
| [[VtsAidlSharedSecretTargetTest]]                | arm64-v8a   | 6           |
| [[VtsAidlUsbHostTest]]                           | arm64-v8a   | 1           |
| [[VtsAidlUsbTargetTest]]                         | arm64-v8a   | 0           |
| [[VtsAidlWatchdogTargetTest]]                    | arm64-v8a   | 0           |
| [[VtsBootconfigTest]]                            | arm64-v8a   | 1           |
| [[VtsFwkDisplayServiceV1_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsGpuTests]]                                  | arm64-v8a   | 7           |
| [[VtsHalAECTargetTest]]                          | arm64-v8a   | 0           |
| [[VtsHalAGC1TargetTest]]                         | arm64-v8a   | 0           |
| [[VtsHalAGC2TargetTest]]                         | arm64-v8a   | 0           |
| [[VtsHalAltitudeServiceTargetTest]]              | arm64-v8a   | 1           |
| [[VtsHalAtraceV1_0TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalAudioControlV1_0TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalAudioControlV2_0TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalAudioCoreTargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalAudioEffectFactoryTargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalAudioEffectTargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalAudioEffectV2_0TargetTest]]              | arm64-v8a   | 1           |
| [[VtsHalAudioEffectV4_0TargetTest]]              | arm64-v8a   | 1           |
| [[VtsHalAudioEffectV5_0TargetTest]]              | arm64-v8a   | 1           |
| [[VtsHalAudioEffectV6_0TargetTest]]              | arm64-v8a   | 1           |
| [[VtsHalAudioEffectV7_0TargetTest]]              | arm64-v8a   | 78          |
| [[VtsHalAudioPolicyV1_0TargetTest]]              | arm64-v8a   | 2           |
| [[VtsHalAudioV2_0TargetTest]]                    | arm64-v8a   | 1           |
| [[VtsHalAudioV4_0TargetTest]]                    | arm64-v8a   | 1           |
| [[VtsHalAudioV5_0TargetTest]]                    | arm64-v8a   | 1           |
| [[VtsHalAudioV6_0TargetTest]]                    | arm64-v8a   | 1           |
| [[VtsHalAudioV7_0TargetTest]]                    | arm64-v8a   | 2480        |
| [[VtsHalAudioV7_1TargetTest]]                    | arm64-v8a   | 1           |
| [[VtsHalAuthSecretTargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalAuthSecretV1_0TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalAutomotiveDisplayV1_0TargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalAutomotiveVehicle_TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBassBoostTargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalBiometricsFaceTargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalBiometricsFaceV1_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBiometricsFingerprintTargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalBiometricsFingerprintV2_1TargetTest]]    | arm64-v8a   | 0           |
| [[VtsHalBiometricsFingerprintV2_2TargetTest]]    | arm64-v8a   | 0           |
| [[VtsHalBiometricsFingerprintV2_3TargetTest]]    | arm64-v8a   | 0           |
| [[VtsHalBluetoothA2dpV1_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalBluetoothAudioTargetTest]]               | arm64-v8a   | 36          |
| [[VtsHalBluetoothAudioV2_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBluetoothAudioV2_1TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBluetoothTargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalBluetoothV1_0TargetTest]]                | arm64-v8a   | 7           |
| [[VtsHalBluetoothV1_1TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalBootAidlTargetTest]]                     | arm64-v8a   | 8           |
| [[VtsHalBootV1_0TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalBootV1_1TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalBootV1_2TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalBroadcastradioAidlTargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBroadcastradioV1_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBroadcastradioV1_1TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalBroadcastradioV2_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalCameraProviderV2_4TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalCameraServiceV2_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalCanBusV1_0TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalCanBusVirtualV1_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalCanControllerV1_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalCanControllerV1_0Test]]                  | arm64-v8a   | 0           |
| [[VtsHalCarDisplayTargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalCarTelemetryTest]]                       | arm64-v8a   | 0           |
| [[VtsHalCasAidlTargetTest]]                      | arm64-v8a   | 8           |
| [[VtsHalCasV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalCasV1_1TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalCasV1_2TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalConfigstoreV1_0TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalConfirmationUITargetTest]]               | arm64-v8a   | 1           |
| [[VtsHalConfirmationUIV1_0TargetTest]]           | arm64-v8a   | 1           |
| [[VtsHalContexthubV1_0TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalContexthubV1_1TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalContexthubV1_2TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalDownmixTargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDrmV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDrmV1_1TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDrmV1_2TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDrmV1_3TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDrmV1_4TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalDumpstateTargetTest]]                    | arm64-v8a   | 37          |
| [[VtsHalDumpstateV1_0TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalDumpstateV1_1TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalDynamicsProcessingTargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalEnvironmentalReverbTargetTest]]          | arm64-v8a   | 0           |
| [[VtsHalEqualizerTargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalEvsTargetTest]]                          | arm64-v8a   | 0           |
| [[VtsHalEvsV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalEvsV1_1TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalGatekeeperTargetTest]]                   | arm64-v8a   | 9           |
| [[VtsHalGatekeeperV1_0TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalGnssTargetTest]]                         | arm64-v8a   | 0           |
| [[VtsHalGnssV1_0TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalGnssV1_1TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalGnssV2_0TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalGnssV2_1TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalGraphicsAllocatorAidl_TargetTest]]       | arm64-v8a   | 9           |
| [[VtsHalGraphicsComposer3_TargetTest]]           | arm64-v8a   | 141         |
| [[VtsHalGraphicsComposerV2_1TargetTest]]         | arm64-v8a   | 0           |
| [[VtsHalGraphicsComposerV2_2TargetTest]]         | arm64-v8a   | 0           |
| [[VtsHalGraphicsComposerV2_3TargetTest]]         | arm64-v8a   | 0           |
| [[VtsHalGraphicsComposerV2_4TargetTest]]         | arm64-v8a   | 0           |
| [[VtsHalGraphicsMapperStableC_TargetTest]]       | arm64-v8a   | 0           |
| [[VtsHalGraphicsMapperV2_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalGraphicsMapperV2_1TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalGraphicsMapperV3_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalGraphicsMapperV4_0TargetTest]]           | arm64-v8a   | 105         |
| [[VtsHalHapticGeneratorTargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalHealthStorageTargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalHealthStorageV1_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalHealthTargetTest]]                       | arm64-v8a   | 22          |
| [[VtsHalHealthV2_0TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalHealthV2_1TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalHostapdTargetTest]]                      | arm64-v8a   | 18          |
| [[VtsHalIdentityTargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalInputClassifierV1_0TargetTest]]          | arm64-v8a   | 0           |
| [[VtsHalIrTargetTest]]                           | arm64-v8a   | 0           |
| [[VtsHalIrV1_0TargetTest]]                       | arm64-v8a   | 0           |
| [[VtsHalIvnTargetTest]]                          | arm64-v8a   | 0           |
| [[VtsHalKeymasterV3_0TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalKeymasterV4_0TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalKeymasterV4_1TargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalLightTargetTest]]                        | arm64-v8a   | 6           |
| [[VtsHalLightV2_0TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalLoudnessEnhancerTargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalMediaC2V1_0TargetAudioDecTest]]          | arm64-v8a   | 168         |
| [[VtsHalMediaC2V1_0TargetAudioEncTest]]          | arm64-v8a   | 45          |
| [[VtsHalMediaC2V1_0TargetComponentTest]]         | arm64-v8a   | 528         |
| [[VtsHalMediaC2V1_0TargetMasterTest]]            | arm64-v8a   | 2           |
| [[VtsHalMediaC2V1_0TargetVideoDecTest]]          | arm64-v8a   | 380         |
| [[VtsHalMediaC2V1_0TargetVideoEncTest]]          | arm64-v8a   | 171         |
| [[VtsHalMediaOmxV1_0TargetAudioDecTest]]         | arm64-v8a   | 0           |
| [[VtsHalMediaOmxV1_0TargetAudioEncTest]]         | arm64-v8a   | 0           |
| [[VtsHalMediaOmxV1_0TargetComponentTest]]        | arm64-v8a   | 0           |
| [[VtsHalMediaOmxV1_0TargetStoreTest]]            | arm64-v8a   | 1           |
| [[VtsHalMediaOmxV1_0TargetVideoDecTest]]         | arm64-v8a   | 0           |
| [[VtsHalMediaOmxV1_0TargetVideoEncTest]]         | arm64-v8a   | 0           |
| [[VtsHalMemtrackTargetTest]]                     | arm64-v8a   | 4           |
| [[VtsHalMemtrackV1_0TargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalNSTargetTest]]                           | arm64-v8a   | 0           |
| [[VtsHalNetNetdV1TargetTest]]                    | arm64-v8a   | 3           |
| [[VtsHalNetNetdV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalNetNetdV1_1TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalNetlinkInterceptorV1_0Test]]             | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksTargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_1TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_2BenchmarkTestCases]]   | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_2TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_3BenchmarkTestCases]]   | arm64-v8a   | 0           |
| [[VtsHalNeuralnetworksV1_3TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalNfcV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalNfcV1_1TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalNfcV1_2TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalOccupantAwarenessV1_0TargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalOemLockTargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalOemLockV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalOmapiSeAccessControlTestCases]]          | arm64-v8a   | 0           |
| [[VtsHalOmapiSeServiceV1_TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalPowerStatsTargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalPowerStatsV1_0TargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalPowerTargetTest]]                        | arm64-v8a   | 11          |
| [[VtsHalPowerV1_0TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalPowerV1_1TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalPowerV1_2TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalPowerV1_3TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalPresetReverbTargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalRadioConfigV1_0TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalRadioConfigV1_1TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalRadioConfigV1_2TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalRadioConfigV1_3TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalRadioTargetTest]]                        | arm64-v8a   | 0           |
| [[VtsHalRadioV1_0TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_1TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_2TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_3TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_4TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_5TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRadioV1_6TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalRebootEscrowTargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalRemotelyProvisionedComponentTargetTest]] | arm64-v8a   | 26          |
| [[VtsHalRenderscriptV1_0TargetTest]]             | arm64-v8a   | 28          |
| [[VtsHalSapV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalSecureElementTargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalSecureElementV1_0TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalSecureElementV1_1TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalSecureElementV1_2TargetTest]]            | arm64-v8a   | 0           |
| [[VtsHalSensorManagerTargetTest]]                | arm64-v8a   | 4           |
| [[VtsHalSensorManagerV1_0TargetTest]]            | arm64-v8a   | 4           |
| [[VtsHalSensorsV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalSensorsV2_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalSensorsV2_1TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalSoundDoseFactoryTargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalSoundtriggerV2_0TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalSoundtriggerV2_1TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalSoundtriggerV2_2TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalSoundtriggerV2_3TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalStatsV1_0TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalSurroundViewV1_0TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalTetheroffloadConfigV1_0TargetTest]]      | arm64-v8a   | 0           |
| [[VtsHalTetheroffloadControlV1_0TargetTest]]     | arm64-v8a   | 0           |
| [[VtsHalTetheroffloadControlV1_1TargetTest]]     | arm64-v8a   | 0           |
| [[VtsHalTetheroffloadTargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalThermalTargetTest]]                      | arm64-v8a   | 6           |
| [[VtsHalThermalV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalThermalV1_1TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalThermalV2_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalThreadNetworkTargetTest]]                | arm64-v8a   | 0           |
| [[VtsHalTvCecV1_0TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalTvCecV1_1TargetTest]]                    | arm64-v8a   | 0           |
| [[VtsHalTvHdmiCecAidlTargetTest]]                | arm64-v8a   | 10          |
| [[VtsHalTvHdmiConnectionAidlTargetTest]]         | arm64-v8a   | 4           |
| [[VtsHalTvHdmiEArcAidlTargetTest]]               | arm64-v8a   | 0           |
| [[VtsHalTvInputTargetTest]]                      | arm64-v8a   | 8           |
| [[VtsHalTvInputV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalTvTunerTargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalTvTunerV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalTvTunerV1_1TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalUsbGadgetV1_1HostTest]]                  | arm64-v8a   | 1           |
| [[VtsHalUsbGadgetV1_2HostTest]]                  | arm64-v8a   | 2           |
| [[VtsHalUsbGadgetV2_0HostTest]]                  | arm64-v8a   | 7           |
| [[VtsHalUsbV1_0TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalUsbV1_1TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalUsbV1_2TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalUsbV1_3TargetTest]]                      | arm64-v8a   | 0           |
| [[VtsHalUwbTargetTest]]                          | arm64-v8a   | 0           |
| [[VtsHalVibratorManagerTargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalVibratorTargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalVibratorV1_0TargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalVibratorV1_1TargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalVibratorV1_2TargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalVibratorV1_3TargetTest]]                 | arm64-v8a   | 0           |
| [[VtsHalVirtualizerTargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalVisualizerTargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalVolumeTargetTest]]                       | arm64-v8a   | 0           |
| [[VtsHalVrV1_0TargetTest]]                       | arm64-v8a   | 0           |
| [[VtsHalWeaverTargetTest]]                       | arm64-v8a   | 0           |
| [[VtsHalWifiApIfaceTargetTest]]                  | arm64-v8a   | 7           |
| [[VtsHalWifiApV1_0TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalWifiApV1_4TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalWifiApV1_5TargetTest]]                   | arm64-v8a   | 0           |
| [[VtsHalWifiChipTargetTest]]                     | arm64-v8a   | 42          |
| [[VtsHalWifiHostapdV1_0TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalWifiHostapdV1_1TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalWifiHostapdV1_2TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalWifiHostapdV1_3TargetTest]]              | arm64-v8a   | 0           |
| [[VtsHalWifiKeystoreV1_0TargetTest]]             | arm64-v8a   | 0           |
| [[VtsHalWifiNanIfaceTargetTest]]                 | arm64-v8a   | 9           |
| [[VtsHalWifiNanV1_0TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiNanV1_2TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiNanV1_4TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiNanV1_5TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiNanV1_6TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiRttControllerTargetTest]]            | arm64-v8a   | 6           |
| [[VtsHalWifiRttV1_4TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiRttV1_6TargetTest]]                  | arm64-v8a   | 0           |
| [[VtsHalWifiStaIfaceTargetTest]]                 | arm64-v8a   | 12          |
| [[VtsHalWifiSupplicantP2pIfaceTargetTest]]       | arm64-v8a   | 46          |
| [[VtsHalWifiSupplicantP2pV1_0TargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantP2pV1_2TargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantP2pV1_4TargetTest]]        | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantStaIfaceTargetTest]]       | arm64-v8a   | 39          |
| [[VtsHalWifiSupplicantStaNetworkTargetTest]]     | arm64-v8a   | 58          |
| [[VtsHalWifiSupplicantV1_0TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantV1_1TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantV1_2TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantV1_3TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalWifiSupplicantV1_4TargetTest]]           | arm64-v8a   | 0           |
| [[VtsHalWifiV1_0TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_1TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_2TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_3TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_4TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_5TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHalWifiV1_6TargetTest]]                     | arm64-v8a   | 0           |
| [[VtsHidlAllocatorV1_0TargetTest]]               | arm64-v8a   | 3           |
| [[VtsPerfettoTestCases]]                         | arm64-v8a   | 1           |
| [[VtsVendorAtomHostJavaTest]]                    | arm64-v8a   | 3           |
| [[binderDriverInterfaceTest]]                    | arm64-v8a   | 17          |
| [[binderLibTest]]                                | arm64-v8a   | 56          |
| [[binderRpcTest]]                                | arm64-v8a   | 24636       |
| [[binderRpcTestNoKernel]]                        | arm64-v8a   | 24636       |
| [[binderRpcTestSingleThreaded]]                  | arm64-v8a   | 24636       |
| [[binderRpcTestSingleThreadedNoKernel]]          | arm64-v8a   | 24636       |
| [[binderRpcWireProtocolTest]]                    | arm64-v8a   | 6           |
| [[binderSafeInterfaceTest]]                      | arm64-v8a   | 17          |
| [[binderStabilityTest]]                          | arm64-v8a   | 10          |
| [[bpf_module_test]]                              | arm64-v8a   | 2           |
| [[connectivity_native_test]]                     | arm64-v8a   | 12          |
| [[dmabufheap]]-vts-unit-tests                    | arm64-v8a   | 1           |
| [[drop_caches_test]]                             | arm64-v8a   | 1           |
| [[fiemap_writer_test]]                           | arm64-v8a   | 24          |
| [[fmq_test]]                                     | arm64-v8a   | 4           |
| [[hidl_test_java]]                               | arm64-v8a   | 9           |
| [[libbinder_ndk_unit_test]]                      | arm64-v8a   | 42          |
| [[memunreachable_binder_test]]                   | arm64-v8a   | 1           |
| [[netd_integration_test]]                        | arm64-v8a   | 240         |
| [[vts_compatibilityMatrix_validate_test]]        | arm64-v8a   | 1           |
| [[vts_core_liblp_test]]                          | arm64-v8a   | 74          |
| [[vts_core_meminfo_test]]                        | arm64-v8a   | 5           |
| [[vts_defaultPermissions_validate_test]]         | arm64-v8a   | 1           |
| [[vts_dlkm_partition_test]]                      | arm64-v8a   | 1           |
| [[vts_fs_test]]                                  | arm64-v8a   | 4           |
| [[vts_generic_boot_image_test]]                  | arm64-v8a   | 2           |
| [[vts_gki_compliance_test]]                      | arm64-v8a   | 4           |
| [[vts_gsi_boot_test]]                            | arm64-v8a   | 4           |
